ParamsID,Order,a,b,c,IntervalIndices,Offsets
475,1,0,4.30494,-2.45976,"475","0"
476,1,0,4.29591,-2.45766,"476","0"
477,1,0,4.28691,-2.45557,"477","0"
478,1,0,4.27795,-2.45348,"478","0"
479,1,0,4.26903,-2.45139,"479","0"
480,1,0,4.26015,-2.4493,"480","0"
481,1,0,4.2513,-2.44723,"481","0"
482,1,0,4.24249,-2.44515,"482","0"
483,1,0,4.23371,-2.44308,"483","0"
484,1,0,4.22498,-2.44101,"484","0"
485,1,0,4.21627,-2.43895,"485","0"
486,1,0,4.20761,-2.43689,"486","0"
487,1,0,4.19898,-2.43484,"487","0"
488,1,0,4.19038,-2.43279,"488","0"
489,1,0,4.18182,-2.43075,"489","0"
490,1,0,4.17329,-2.42871,"490","0"
491,1,0,4.1648,-2.42667,"491","0"
492,1,0,4.15635,-2.42464,"492","0"
493,1,0,4.14792,-2.42261,"493","0"
494,1,0,4.13954,-2.42058,"494","0"
495,1,0,4.13118,-2.41856,"495","0"
496,1,0,4.12286,-2.41655,"496","0"
497,1,0,4.11457,-2.41454,"497","0"
498,1,0,4.10632,-2.41253,"498","0"
499,1,0,4.0981,-2.41052,"499","0"
500,1,0,4.08991,-2.40852,"500","0"
501,1,0,4.08176,-2.40653,"501","0"
502,1,0,4.07363,-2.40454,"502","0"
503,1,0,4.06554,-2.40255,"503","0"
504,1,0,4.05748,-2.40056,"504","0"
505,1,0,4.04946,-2.39858,"505","0"
506,1,0,4.04146,-2.39661,"506","0"
507,1,0,4.0335,-2.39463,"507","0"
508,1,0,4.02557,-2.39267,"508","0"
509,1,0,4.01767,-2.3907,"509","0"
510,1,0,4.0098,-2.38874,"510","0"
511,1,0,4.00196,-2.38678,"511","0"
512,1,0,3.99415,-2.38483,"512","0"
513,1,0,3.98637,-2.38288,"513","0"
514,1,0,3.97862,-2.38094,"514","0"
515,1,0,3.9709,-2.37899,"515","0"
516,1,0,3.96322,-2.37706,"516","0"
517,1,0,3.95556,-2.37512,"517","0"
518,1,0,3.94793,-2.37319,"518","0"
519,1,0,3.94033,-2.37126,"519","0"
520,1,0,3.93276,-2.36934,"520","0"
521,1,0,3.92522,-2.36742,"521","0"
522,1,0,3.9177,-2.36551,"522","0"
523,1,0,3.91022,-2.36359,"523","0"
524,1,0,3.90277,-2.36169,"524","0"
525,1,0,3.89534,-2.35978,"525","0"
526,1,0,3.88794,-2.35788,"526","0"
527,1,0,3.88057,-2.35598,"527","0"
528,1,0,3.87323,-2.35409,"528","0"
529,1,0,3.86591,-2.3522,"529","0"
530,1,0,3.85863,-2.35031,"530","0"
531,1,0,3.85137,-2.34843,"531","0"
532,1,0,3.84413,-2.34655,"532","0"
533,1,0,3.83693,-2.34467,"533","0"
534,1,0,3.82975,-2.3428,"534","0"
535,1,0,3.8226,-2.34093,"535","0"
536,1,0,3.81547,-2.33906,"536","0"
537,1,0,3.80837,-2.3372,"537","0"
538,1,0,3.8013,-2.33534,"538","0"
539,1,0,3.79426,-2.33349,"539","0"
540,1,0,3.78724,-2.33164,"540","0"
541,1,0,3.78024,-2.32979,"541","0"
542,1,0,3.77327,-2.32794,"542","0"
543,1,0,3.76633,-2.3261,"543","0"
544,1,0,3.75941,-2.32426,"544","0"
545,1,0,3.75252,-2.32243,"545","0"
546,1,0,3.74566,-2.3206,"546","0"
547,1,0,3.73881,-2.31877,"547","0"
548,1,0,3.732,-2.31694,"548","0"
549,1,0,3.72521,-2.31512,"549","0"
550,1,0,3.71844,-2.3133,"550","0"
551,1,0,3.7117,-2.31149,"551","0"
552,1,0,3.70498,-2.30968,"552","0"
553,1,0,3.69828,-2.30787,"553","0"
554,1,0,3.69162,-2.30606,"554","0"
555,1,0,3.68497,-2.30426,"555","0"
556,1,0,3.67835,-2.30246,"556","0"
